,Identifier,Site,Country,Region,Data origin,Uncal.Dates,Cal.Dates,Approx. age,Phase,Bead diameter (mm),Aperture diameter (mm),Shell thickness (mm),Reference(s)
508,Kisese II XX,Kisese II Rockshelter,Tanzania,Eastern Africa,Published measurements,40600,43719,43719,1,7.00,2.70,N/A,26
927,NBC R65/66 YI BETTY#2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.71,2.71,1.38,"78,79"
362,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.66,2.71,1.51,"60,67"
1064,PYS Layer 6,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,19675,2,7.29,2.71,1.79,"25,80"
1083,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,6.79,2.71,1.68,"25,80"
95,EYM DBL1.4 #8,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,39900,43448,43448,1,6.01,2.72,N/A,63
459,HxJf1 Tp11 90-100 AMS >50k,Magubike Rockshelter,Tanzania,Eastern Africa,Newly presented,50000,,50000,1,8.11,2.72,N/A,"33,70,71"
530,NBC /66 YI BRETT #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,7.74,2.72,1.70,"78,79"
121,EYM RBL2.1B1 #1,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,4535,5184,5184,4,6.65,2.72,N/A,63
284,EYMU-05 8 III 2(4) #1,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,1812,1812,5,7.96,2.72,1.79,75-77
812,NBC R65/66 AI BETTY #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,5.42,2.73,1.74,"78,79"
784,NBC R65.66 BII ALEX,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,650,611,611,5,4.75,2.74,1.48,"78,79"
206,EYMU-05 5 III 3(5) #1,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,6420,6420,4,6.93,2.74,1.46,75-77
282,EYMU-05 8 III 2(3) #6,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,1812,1812,5,8.70,2.75,1.86,75-77
152,EYM RBL2.2.1 #1,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,5265,6038,6038,4,6.40,2.75,N/A,63
514,KPL Tr.3 N15 C3.2 N7-34 (#44),Kakapel Rockshelter,Kenya,Eastern Africa,Newly presented,,,1650,5,6.07,2.75,1.50,Goldstein et al. forthcoming
1057,PYS Layer 5,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,14350,3,6.66,2.75,1.67,"25,80"
1392,WW S31 4A+B #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5000,4,5.88,2.75,1.47,85-87
32,"BC Q24 32-38 LEVEL 1WA A&B ""32",Border Cave,South Africa,Southern Africa,Newly presented,38608,42538,42538,1,7.60,2.76,2.18,"14,59"
112,EYM RBL2.1A3 #2,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,4475,5117,5117,4,5.81,2.76,N/A,63
562,NBC /66 YI BRETT #5,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,7.39,2.76,1.52,"78,79"
73,"DMB3 Unit1 L3 (21.8.12) ""from sieve"" #4",Daumboy 3 Rockshelter,Tanzania,Eastern Africa,Newly presented,9280,10620,10620,4,6.01,2.77,1.97,62
838,NBC R65/66 AI BILL #7,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,850,611,611,5,5.97,2.77,1.64,"78,79"
1113,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,7.52,2.77,1.94,"25,80"
525,NBC /66 YI BRETT #15,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,6.55,2.78,1.64,"78,79"
826,NBC R65/66 AI BILL #16,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,850,611,611,5,4.38,2.78,1.31,"78,79"
273,EYMU-05 8 III (2) #3,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,600,5,6.92,2.79,1.56,75-77
1147,VR003,Varsche Rivier 003,South Africa,Southern Africa,Measured from published photo,,,42300,1,5.68,2.79,N/A,82
42,"BC T19 LEVEL 1WA ""40 circled""",Border Cave,South Africa,Southern Africa,Newly presented,38608,42538,42538,1,6.42,2.80,1.68,"14,59"
157,EYM RBL2.2.2 #4,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,5265,6038,6038,4,5.67,2.80,N/A,63
499,Kisese II XI,Kisese II Rockshelter,Tanzania,Eastern Africa,Published measurements,30800,35130,35130,1,7.40,2.80,N/A,26
1029,NBC XO BRETT #13,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,5.40,2.80,1.49,"78,79"
115,EYM RBL2.1A3 #7,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,4475,5117,5117,4,5.86,2.81,N/A,63
974,NBC XO BETTY #10,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.00,2.81,0.87,"78,79"
110,EYM RBL2.1A1 #5,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,3110,3311,3311,4,6.05,2.81,N/A,63
233,EYMU-05 5 III 5(8) #22,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,15000,3,7.38,2.81,1.95,75-77
41,"BC T18 LEVEL 1WA ""35 circled""",Border Cave,South Africa,Southern Africa,Newly presented,38608,42538,42538,1,6.53,2.82,1.13,"14,59"
430,HwJf2 I11 5SW #1 (P),Mlambalasi Rockshelter,Tanzania,Eastern Africa,Newly presented,,,500,5,6.89,2.82,1.84,72-74
85,EYM DBL1.2 #2,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,29300,33592,33592,1,6.28,2.83,N/A,63
275,EYMU-05 8 III (5) #1,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,600,5,6.67,2.83,1.81,75-77
456,HxJf1 Tp10 0-10 #1,Magubike Rockshelter,Tanzania,Eastern Africa,Newly presented,,,1000,5,6.83,2.83,1.85,"33,70,71"
240,EYMU-05 5 III 5(8) #5,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,15000,3,7.70,2.84,1.32,75-77
443,HwJf2 J11 3NE #2,Mlambalasi Rockshelter,Tanzania,Eastern Africa,Newly presented,,,300,5,6.81,2.84,1.48,72-74
398,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,5.27,2.85,1.7,"60,67"
1115,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,7.44,2.85,1.96,"25,80"
334,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.49,2.86,1.3,"60,67"
382,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.88,2.86,1.59,"60,67"
390,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,5.12,2.86,1.67,"60,67"
1036,NBC XO BRETT #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,7.49,2.86,2.07,"78,79"
234,EYMU-05 5 III 5(8) #23,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,15000,3,6.76,2.87,1.59,75-77
485,HxJf1 Tp9 0-10,Magubike Rockshelter,Tanzania,Eastern Africa,Newly presented,,,500,5,8.07,2.88,1.44,"33,70,71"
1110,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.70,2.88,1.93,"25,80"
1066,PYS Layer 6,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,19675,2,8.50,2.89,1.96,"25,80"
1087,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,7.48,2.89,1.74,"25,80"
358,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,5.26,2.90,1.5,"60,67"
500,Kisese II XII,Kisese II Rockshelter,Tanzania,Eastern Africa,Published measurements,,34750,34750,1,7.40,2.90,N/A,26
503,Kisese II XIX,Kisese II Rockshelter,Tanzania,Eastern Africa,Published measurements,34787,39755,39755,1,8.00,2.90,N/A,26
1093,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.42,2.90,1.78,"25,80"
229,EYMU-05 5 III 5(8) #10,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,15000,3,9.03,2.91,2.25,75-77
427,HwJf2 I10 3NW (P),Mlambalasi Rockshelter,Tanzania,Eastern Africa,Newly presented,,,300,5,7.77,2.91,1.48,72-74
1117,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.51,2.91,1.99,"25,80"
1086,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.63,2.92,1.73,"25,80"
432,HwJf2 I11 7SW #1 (P),Mlambalasi Rockshelter,Tanzania,Eastern Africa,Newly presented,12765,15243,15243,3,6.22,2.93,1.65,72-74
86,EYM DBL1.2 #7,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,29300,33592,33592,1,7.36,2.94,N/A,63
232,EYMU-05 5 III 5(8) #21,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,15000,3,8.38,2.94,1.88,75-77
440,HwJf2 J10 3NW,Mlambalasi Rockshelter,Tanzania,Eastern Africa,Newly presented,,,300,5,7.00,2.95,1.46,72-74
256,EYMU-05 5 III 7(11) #4,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,26000,2,7.37,2.95,1.84,75-77
473,HxJf1 Tp7 20-30,Magubike Rockshelter,Tanzania,Eastern Africa,Newly presented,,,3000,4,7.39,2.95,1.45,"33,70,71"
1060,PYS Layer 6,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,19675,2,6.89,2.95,1.56,"25,80"
1088,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.06,2.95,1.75,"25,80"
241,EYMU-05 5 III 5(8) #6,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,15000,3,7.27,2.96,2.12,75-77
834,NBC R65/66 AI BILL #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,850,611,611,5,5.18,2.96,1.63,"78,79"
178,EYMU-05 5 III 1 #1,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,844,844,5,8.06,2.97,1.96,75-77
1111,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.62,2.97,1.93,"25,80"
364,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.29,2.98,1.52,"60,67"
463,HxJf1 Tp12 40-50 #3 AMS 13k,Magubike Rockshelter,Tanzania,Eastern Africa,Newly presented,13125,15870,15870,3,6.63,2.98,N/A,"33,70,71"
512,KPL Tr.3 C6 2-43 (#35),Kakapel Rockshelter,Kenya,Eastern Africa,Newly presented,,,875,5,7.92,2.99,1.35,Goldstein et al. forthcoming
111,EYM RBL2.1A3 #1,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,4475,5117,5117,4,7.77,2.99,N/A,63
479,HxJf1 Tp8 30-40 #1,Magubike Rockshelter,Tanzania,Eastern Africa,Newly presented,6465,7375,7375,4,7.65,2.99,2.04,"33,70,71"
1077,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,7.59,2.99,1.57,"25,80"
1099,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.78,2.99,1.81,"25,80"
1127,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.58,2.99,2.04,"25,80"
219,EYMU-05 5 III 4(6) #4,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,8000,4,7.29,3.00,1.73,75-77
491,Kasteelberg B2,Kasteelberg B,South Africa,Southern Africa,Published measurements,,,1300,5,7.00,3.00,N/A,"68,69"
495,Kisese II IX,Kisese II Rockshelter,Tanzania,Eastern Africa,Published measurements,,,21950,2,6.80,3.00,N/A,26
1061,PYS Layer 6,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,19675,2,8.96,3.00,1.68,"25,80"
1104,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.62,3.00,1.88,"25,80"
1126,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.65,3.00,2.03,"25,80"
272,EYMU-05 8 III (2) #2,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,600,5,8.45,3.01,1.44,75-77
118,EYM RBL2.1A4 Pit,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,4475,5117,5117,4,7.35,3.01,N/A,63
251,EYMU-05 5 III 7(10) #5,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,26000,2,7.01,3.01,1.87,75-77
1095,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.39,3.02,1.79,"25,80"
1097,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.64,3.02,1.80,"25,80"
400,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.41,3.03,1.71,"60,67"
1076,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,7.92,3.03,1.56,"25,80"
276,EYMU-05 8 III (5) #2,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,600,5,7.65,3.03,1.68,75-77
169,EYMU-05 5 III (7) #1,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,600,5,6.95,3.04,1.99,75-77
1091,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.60,3.04,1.76,"25,80"
487,HxJf1 Tp9 50-60,Magubike Rockshelter,Tanzania,Eastern Africa,Newly presented,,,22000,2,9.10,3.05,1.79,"33,70,71"
1121,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.61,3.05,2.00,"25,80"
36,"BC R23 LEVEL  27"" - 1WA (1BS LR)",Border Cave,South Africa,Southern Africa,Newly presented,38608,42538,42538,1,8.14,3.06,1.47,"14,59"
1058,PYS Layer 5,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,14350,3,6.41,3.06,1.74,"25,80"
1124,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.45,3.06,2.02,"25,80"
534,NBC /66 YI BRETT #23,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,5.89,3.07,1.35,"78,79"
1100,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.65,3.07,1.81,"25,80"
1103,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.93,3.07,1.87,"25,80"
141,EYM RBL2.1B5 #2,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,4860,5601,5601,4,7.58,3.08,N/A,63
252,EYMU-05 5 III 7(10) #6,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,26000,2,6.46,3.08,2.09,75-77
1024,NBC XO BETTY #9,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.55,3.08,1.15,"78,79"
1102,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,6.94,3.08,1.85,"25,80"
1128,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.64,3.08,2.04,"25,80"
212,EYMU-05 5 III 3(5) #8,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,6420,6420,4,7.30,3.09,1.96,75-77
203,EYMU-05 5 III 2(4) #4,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,1812,1812,5,6.37,3.09,1.61,75-77
1122,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.85,3.09,2.00,"25,80"
504,Kisese II XV,Kisese II Rockshelter,Tanzania,Eastern Africa,Published measurements,31135,35530,35530,1,7.90,3.10,N/A,26
506,Kisese II XVII,Kisese II Rockshelter,Tanzania,Eastern Africa,Published measurements,,,37750,1,7.60,3.10,N/A,26
1123,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.90,3.10,2.00,"25,80"
1131,PYS Layer 9,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,39625,39625,1,8.55,3.11,2.05,"25,80"
453,HwJf2 J9 8,Mlambalasi Rockshelter,Tanzania,Eastern Africa,Newly presented,,,17000,3,6.25,3.11,1.27,72-74
239,EYMU-05 5 III 5(8) #4,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,15000,3,7.90,3.12,1.63,75-77
376,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.69,3.12,1.56,"60,67"
391,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.80,3.12,1.67,"60,67"
625,NBC 22.12.70 A-I MIDD-BABS,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1200,5,7.27,3.12,1.66,"78,79"
176,EYMU-05 5 III (9) #3,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,600,5,7.39,3.13,2.05,75-77
250,EYMU-05 5 III 7(10) #4,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,26000,2,7.13,3.13,1.91,75-77
1071,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.56,3.13,1.47,"25,80"
346,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,5.25,3.14,1.38,"60,67"
1105,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.83,3.14,1.89,"25,80"
116,EYM RBL2.1A3 #8,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,4475,5117,5117,4,6.58,3.15,N/A,63
726,NBC 8.2.79 SQ1 REVIL,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,5200,4,6.07,3.16,1.20,"78,79"
249,EYMU-05 5 III 7(10) #3,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,26000,2,8.53,3.17,1.93,75-77
77,DMB3 Unit1 L3 (21.8.12) -37-38BODP #8,Daumboy 3 Rockshelter,Tanzania,Eastern Africa,Newly presented,9280,10620,10620,4,7.81,3.18,1.85,62
1118,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.56,3.18,1.99,"25,80"
1129,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.85,3.18,2.04,"25,80"
248,EYMU-05 5 III 7(10) #2,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,26000,2,8.65,3.19,1.79,75-77
103,EYM RBL2,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,,,4500,4,6.96,3.19,N/A,63
326,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.71,3.19,1.22,"60,67"
513,KPL Tr.3 M17 C12 2-89 (#39),Kakapel Rockshelter,Kenya,Eastern Africa,Newly presented,,,2150,5,8.69,3.19,1.51,Goldstein et al. forthcoming
505,Kisese II XVI,Kisese II Rockshelter,Tanzania,Eastern Africa,Published measurements,,,36500,1,8.30,3.20,N/A,26
507,Kisese II XVIII,Kisese II Rockshelter,Tanzania,Eastern Africa,Published measurements,34380,39546,39546,1,8.00,3.20,N/A,26
1055,PYS Layer 5,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,14350,3,6.94,3.20,1.53,"25,80"
1075,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.52,3.20,1.54,"25,80"
1112,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.67,3.21,1.93,"25,80"
238,EYMU-05 5 III 5(8) #27,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,15000,3,6.79,3.22,1.64,75-77
830,NBC R65/66 AI BILL #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,850,611,611,5,5.60,3.22,1.53,"78,79"
89,EYM DBL1.3 #5,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,37000,41558,41558,1,6.22,3.24,N/A,63
227,EYMU-05 5 III 4(7) #4,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,8000,4,7.33,3.25,2.18,75-77
182,EYMU-05 5 III 2 #2,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,1812,1812,5,7.39,3.28,1.89,75-77
296,Geelbek Snoek,Geelbek Dunes,South Africa,Southern Africa,Published measurements,,,464,5,6.20,3.30,N/A,66
279,EYMU-05 8 III 2(3) #3,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,1812,1812,5,7.15,3.31,1.51,75-77
106,EYM RBL2.1 #3,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,3110,3311,3311,4,7.95,3.32,N/A,63
835,NBC R65/66 AI BILL #4,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,850,611,611,5,6.48,3.34,1.48,"78,79"
1092,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.61,3.34,1.76,"25,80"
283,EYMU-05 8 III 2(3) #9,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,1812,1812,5,7.70,3.35,2.09,75-77
1068,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,7.69,3.36,1.38,"25,80"
355,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.69,3.38,1.48,"60,67"
1096,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,7.72,3.41,1.79,"25,80"
519,NBC /66 YI BRETT #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,6.97,3.43,1.65,"78,79"
901,NBC R65/66 Y0 BETTY #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,8.00,3.44,1.51,"78,79"
541,NBC /66 YI BRETT #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,6.87,3.45,1.39,"78,79"
579,NBC /66 YI BRETT #9,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,6.40,3.49,1.40,"78,79"
1074,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,7.69,3.53,1.52,"25,80"
1070,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,7.96,3.55,1.45,"25,80"
1119,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.08,3.55,1.99,"25,80"
88,EYM DBL1.3 #11,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,37000,41558,41558,1,8.92,3.56,N/A,63
542,NBC /66 YI BRETT #30,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,7.42,3.56,1.47,"78,79"
1072,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,7.94,3.60,1.47,"25,80"
226,EYMU-05 5 III 4(7) #3,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,8000,4,8.28,3.62,1.37,75-77
1089,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.25,3.63,1.75,"25,80"
1108,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.03,3.63,1.92,"25,80"
1069,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.18,3.65,1.42,"25,80"
1116,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.22,3.65,1.97,"25,80"
1109,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,7.98,3.67,1.92,"25,80"
177,EYMU-05 5 III (9) #4,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,600,5,7.18,3.69,1.94,75-77
441,HwJf2 J11 2NE (P),Mlambalasi Rockshelter,Tanzania,Eastern Africa,Newly presented,,,200,5,7.23,3.69,1.67,72-74
1107,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.00,3.70,1.90,"25,80"
1081,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.01,3.71,1.66,"25,80"
1106,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.23,3.71,1.89,"25,80"
1125,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.12,3.75,2.02,"25,80"
1067,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.25,3.78,1.32,"25,80"
76,"DMB3 Unit1 L3 (21.8.12) ""from sieve"" #9",Daumboy 3 Rockshelter,Tanzania,Eastern Africa,Newly presented,9280,10620,10620,4,8.73,3.80,1.50,62
1085,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.35,3.80,1.69,"25,80"
81,DMB3 Unit4 L1 (22.8.12),Daumboy 3 Rockshelter,Tanzania,Eastern Africa,Newly presented,9280,10620,10620,4,8.23,3.82,2.02,62
1059,PYS Layer 5,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,14350,3,8.17,3.85,1.83,"25,80"
87,EYM DBL1.3 #10,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,37000,41558,41558,1,8.75,3.86,N/A,63
1101,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,7.85,3.90,1.82,"25,80"
1114,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.17,3.91,1.94,"25,80"
1094,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.08,3.93,1.78,"25,80"
1080,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,7.94,3.95,1.64,"25,80"
1078,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,7.69,3.96,1.58,"25,80"
1073,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.27,3.99,1.51,"25,80"
1084,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.28,3.99,1.68,"25,80"
1056,PYS Layer 5,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,14350,3,8.27,4.00,1.56,"25,80"
1098,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,8.09,4.02,1.80,"25,80"
431,HwJf2 I11 5SW #2 (P),Mlambalasi Rockshelter,Tanzania,Eastern Africa,Newly presented,,,500,5,8.37,4.04,1.88,72-74
1079,PYS Layer 7-8,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,25125,2,7.89,4.11,1.62,"25,80"
